,content,norm,tokens,final
10,"the support team was not friendly. i sent a lot of emails but did not receive helpful response. becareful when entering the email to buy a subscription. if you enter the email that does not exist, you would be charged but did not receive the account info. they did not verify that email exist or not. it was my bad experience when using this app.","the support team be not friendly . I send a lot of email but do not receive helpful response . becareful when enter the email to buy a subscription . if you enter the email that do not exist , you would be charge but do not receive the account info . they do not verify that email exist or not . it be my bad experience when use this app .","['support', 'team', 'friendly', 'send', 'lot', 'email', 'receive', 'helpful', 'response', 'becareful', 'enter', 'email', 'buy', 'subscription', 'enter', 'email', 'exist', 'charge', 'receive', 'account', 'info', 'verify', 'email', 'exist', 'bad', 'experience', 'use', 'app']",support team friendly send lot email receive helpful response becareful enter email buy subscription enter email exist charge receive account info verify email exist bad experience use app
11,"the app is not bad; however, i am payimg for it but i didn't have a time to check it frequently. so, i tried to unsubscribe me but it os complicate and i couldn't to do it. i looking for the app and it doesn't have the option. also, i tries on google app and i got the same things. it's not possible. where i have to write or to call to have answer and cancel my subscription. thanks","the app be not bad ; however , I be payimg for it but I do not have a time to check it frequently . so , I try to unsubscribe I but it os complicate and I could not to do it . I look for the app and it do not have the option . also , I try on google app and I get the same thing . it be not possible . where I have to write or to call to have answer and cancel my subscription . thank","['app', 'bad', 'payimg', 'time', 'check', 'frequently', 'try', 'unsubscribe', 'os', 'complicate', 'look', 'app', 'option', 'try', 'google', 'app', 'thing', 'possible', 'write', 'answer', 'cancel', 'subscription', 'thank']",app bad payimg time check frequently try unsubscribe os complicate look app option try google app thing possible write answer cancel subscription thank
12,"it an interesting app for communication and it helped me alot to succeed in my journey to enhance at learning english and so happy because know i can speak english clear and obviously thanks to this incredible app which helped me and help my siblings too. learna al is the best app i have ever used upon the ather apps is uses know i can speak english well and i suggest everyone who want to improve at in english and speak with confidence. this app has changed part of life , thank you for these app","it an interesting app for communication and it help I alot to succeed in my journey to enhance at learn english and so happy because know I can speak english clear and obviously thank to this incredible app which help I and help my sibling too . learna al be the good app I have ever use upon the ather app be use know I can speak english well and I suggest everyone who want to improve at in english and speak with confidence . this app have change part of life , thank you for these app","['interesting', 'app', 'communication', 'help', 'alot', 'succeed', 'journey', 'enhance', 'learn', 'english', 'happy', 'know', 'speak', 'english', 'clear', 'obviously', 'thank', 'incredible', 'app', 'help', 'help', 'sibling', 'learna', 'al', 'good', 'app', 'use', 'ather', 'app', 'use', 'know', 'speak', 'english', 'suggest', 'want', 'improve', 'english', 'speak', 'confidence', 'app', 'change', 'life', 'thank', 'app']",interesting app communication help alot succeed journey enhance learn english happy know speak english clear obviously thank incredible app help help sibling learna al good app use ather app use know speak english suggest want improve english speak confidence app change life thank app
13,"good content but problems with voice from character. most of the time, it dispears from app. i mainly base on text to understand the conservation as no voice from character. the app need to fix this major problem.","good content but problem with voice from character . most of the time , it dispear from app . I mainly base on text to understand the conservation as no voice from character . the app need to fix this major problem .","['good', 'content', 'problem', 'voice', 'character', 'time', 'dispear', 'app', 'mainly', 'base', 'text', 'understand', 'conservation', 'voice', 'character', 'app', 'need', 'fix', 'major', 'problem']",good content problem voice character time dispear app mainly base text understand conservation voice character app need fix major problem
14,"it doesn't worth your penny. i've requested for a refund because i accidentally pressed the subscription button, but they did not granted it because it doesn't meet the policy thing. i'm so frustrated right now because my hardwork money go to waste.","it do not worth your penny . I have request for a refund because I accidentally press the subscription button , but they do not grant it because it do not meet the policy thing . I be so frustrated right now because my hardwork money go to waste .","['worth', 'penny', 'request', 'refund', 'accidentally', 'press', 'subscription', 'button', 'grant', 'meet', 'policy', 'thing', 'frustrated', 'right', 'hardwork', 'money', 'waste']",worth penny request refund accidentally press subscription button grant meet policy thing frustrated right hardwork money waste
15,"i'm not comfortable with this application at all i subscribed for one week 19k but they continue taking my money while i'm not using it they don't allow to cancel... this application is for the rich ..... i learned for 3 days the one who was teaching she was not serious, they promote nicely but i got which i never expected.","I be not comfortable with this application at all I subscribe for one week 19k but they continue take my money while I be not use it they do not allow to cancel ... this application be for the rich ..... I learn for 3 day the one who be teach she be not serious , they promote nicely but I get which I never expect .","['comfortable', 'application', 'subscribe', 'week', '19k', 'continue', 'money', 'use', 'allow', 'cancel', 'application', 'rich', 'learn', '3', 'day', 'teach', 'promote', 'nicely', 'expect']",comfortable application subscribe week 19k continue money use allow cancel application rich learn 3 day teach promote nicely expect
16,"it's a good app to improve your english level if you are a native spanish speaker, in addition is very easy to understand the dinamics or activities and to remember the lessions with the kind of practice the app give you","it be a good app to improve your english level if you be a native spanish speaker , in addition be very easy to understand the dinamic or activity and to remember the lession with the kind of practice the app give you","['good', 'app', 'improve', 'english', 'level', 'native', 'spanish', 'speaker', 'addition', 'easy', 'understand', 'dinamic', 'activity', 'remember', 'lession', 'kind', 'practice', 'app']",good app improve english level native spanish speaker addition easy understand dinamic activity remember lession kind practice app
17,"this app has a lot of errors and bugs that make me feel so tired while speaking and listening! i paid and used it for a half year. i wrote some emails to contribute to the service to report about those issues, but no one responded. the new version of feb 2025 is terrible while speaking, and all troubles are still not fixed. it's cheap but terrible app and wasted time.","this app have a lot of error and bug that make I feel so tired while speak and listening ! I pay and use it for a half year . I write some email to contribute to the service to report about those issue , but no one respond . the new version of feb 2025 be terrible while speak , and all trouble be still not fix . it be cheap but terrible app and waste time .","['app', 'lot', 'error', 'bug', 'feel', 'tired', 'speak', 'listening', 'pay', 'use', 'half', 'year', 'write', 'email', 'contribute', 'service', 'report', 'issue', 'respond', 'new', 'version', 'feb', '2025', 'terrible', 'speak', 'trouble', 'fix', 'cheap', 'terrible', 'app', 'waste', 'time']",app lot error bug feel tired speak listening pay use half year write email contribute service report issue respond new version feb 2025 terrible speak trouble fix cheap terrible app waste time
18,this is highly recommended for everyone who wants to speak fluently in english. it will also improve your vocabulary and at the same time your pronunciation.,this be highly recommend for everyone who want to speak fluently in english . it will also improve your vocabulary and at the same time your pronunciation .,"['highly', 'recommend', 'want', 'speak', 'fluently', 'english', 'improve', 'vocabulary', 'time', 'pronunciation']",highly recommend want speak fluently english improve vocabulary time pronunciation
19,most of the time it doesn't understand what you say and secondly it doesn't have a way to improve pronunciation. the worst app on internet i have ever bought. never buy this rubbish app.,most of the time it do not understand what you say and secondly it do not have a way to improve pronunciation . the bad app on internet I have ever buy . never buy this rubbish app .,"['time', 'understand', 'secondly', 'way', 'improve', 'pronunciation', 'bad', 'app', 'internet', 'buy', 'buy', 'rubbish', 'app']",time understand secondly way improve pronunciation bad app internet buy buy rubbish app
20,"interesting and helpful app, and i bought a year-premium subscription, but after 2,5 months all lessons were done and there were no new lessons - so now i demand to refund the money for subscription...","interesting and helpful app , and I buy a year - premium subscription , but after 2,5 month all lesson be do and there be no new lesson - so now I demand to refund the money for subscription ...","['interesting', 'helpful', 'app', 'buy', 'year', 'premium', 'subscription', '2,5', 'month', 'lesson', 'new', 'lesson', 'demand', 'refund', 'money', 'subscription']","interesting helpful app buy year premium subscription 2,5 month lesson new lesson demand refund money subscription"
21,saw this on youtube and downloaded. tried the first lecture but can't finished it because it requires subscription plan. and in my own opinion. by using app for less than 5 minutes is not enough to decide if i will subscribe to the plan. so immediately uninstall it. if only you provided more unlocked levels so the user can experience more of the app and decide. i bet you would have more subscriber. this is my take. i will not subscribe in any paid plan on the app i just downloaded.,see this on youtube and download . try the first lecture but can not finished it because it require subscription plan . and in my own opinion . by use app for less than 5 minute be not enough to decide if I will subscribe to the plan . so immediately uninstall it . if only you provide more unlocked level so the user can experience more of the app and decide . I bet you would have more subscriber . this be my take . I will not subscribe in any pay plan on the app I just download .,"['youtube', 'download', 'try', 'lecture', 'finished', 'require', 'subscription', 'plan', 'opinion', 'use', 'app', '5', 'minute', 'decide', 'subscribe', 'plan', 'immediately', 'uninstall', 'provide', 'unlocked', 'level', 'user', 'experience', 'app', 'decide', 'bet', 'subscriber', 'subscribe', 'pay', 'plan', 'app', 'download']",youtube download try lecture finished require subscription plan opinion use app 5 minute decide subscribe plan immediately uninstall provide unlocked level user experience app decide bet subscriber subscribe pay plan app download
22,"i am having trouble logging into my account. i have already tried the forgot password option, but i have not received the password reset email. and i send the email for this issue now is been 20 days i haven't gotten any assist.","I be have trouble log into my account . I have already try the forgot password option , but I have not receive the password reset email . and I send the email for this issue now be be 20 day I have not get any assist .","['trouble', 'log', 'account', 'try', 'forgot', 'password', 'option', 'receive', 'password', 'reset', 'email', 'send', 'email', 'issue', '20', 'day', 'assist']",trouble log account try forgot password option receive password reset email send email issue 20 day assist
23,"app is charging me without my consent. moreover i cant see payment plans, except i saw once when it was installed. app gave me message that i have never been charged but the fact is that i have been charged 4 times in last one month","app be charge I without my consent . moreover I can not see payment plan , except I see once when it be instal . app give I message that I have never be charge but the fact be that I have be charge 4 time in last one month","['app', 'charge', 'consent', 'payment', 'plan', 'instal', 'app', 'message', 'charge', 'fact', 'charge', '4', 'time', 'month']",app charge consent payment plan instal app message charge fact charge 4 time month
24,this app has issue. even after taking subscription it does not allow to use even though only one device is being used. also there is no reply to email i sent to report the same.,this app have issue . even after take subscription it do not allow to use even though only one device be be use . also there be no reply to email I send to report the same .,"['app', 'issue', 'subscription', 'allow', 'use', 'device', 'use', 'reply', 'email', 'send', 'report']",app issue subscription allow use device use reply email send report
25,"it can't listen perfectly, if my voice isn't clear so it also shouldn't work on google translator but it ok but this app complete change my sentences because of ai worst implementations.","it can not listen perfectly , if my voice be not clear so it also should not work on google translator but it ok but this app complete change my sentence because of ai bad implementation .","['listen', 'perfectly', 'voice', 'clear', 'work', 'google', 'translator', 'ok', 'app', 'complete', 'change', 'sentence', 'ai', 'bad', 'implementation']",listen perfectly voice clear work google translator ok app complete change sentence ai bad implementation
26,"the ad for this app claims there are no fees, but that's not true. if you want to learn a language, you have to only pay and not another way. i deleted it and do not recommend it because it includes a lie.","the ad for this app claim there be no fee , but that be not true . if you want to learn a language , you have to only pay and not another way . I delete it and do not recommend it because it include a lie .","['ad', 'app', 'claim', 'fee', 'true', 'want', 'learn', 'language', 'pay', 'way', 'delete', 'recommend', 'include', 'lie']",ad app claim fee true want learn language pay way delete recommend include lie
27,"i liked the interaction at first. and the price is affordable . but in order to speak you have keep your fingers on the screen making it impossible to read any text. this makes the otherwise promising app, useless. one of the worst user interfaces i ever saw.","I like the interaction at first . and the price be affordable . but in order to speak you have keep your finger on the screen make it impossible to read any text . this make the otherwise promising app , useless . one of the bad user interface I ever see .","['like', 'interaction', 'price', 'affordable', 'order', 'speak', 'finger', 'screen', 'impossible', 'read', 'text', 'promising', 'app', 'useless', 'bad', 'user', 'interface']",like interaction price affordable order speak finger screen impossible read text promising app useless bad user interface
28,perfect apps to learn and practice english. it is fast and effective. i love this app since the first time i subscribed and tried it. the only thing that needs to be improved is that sometimes the ai tutor's voice suddenly jumps to the end of the sentence so that there are words that are missing and incompletely conveyed. no idea whether it is because of my connection or something else.. thankss,perfect app to learn and practice english . it be fast and effective . I love this app since the first time I subscribe and try it . the only thing that need to be improve be that sometimes the ai tutor 's voice suddenly jump to the end of the sentence so that there be word that be miss and incompletely convey . no idea whether it be because of my connection or something else .. thankss,"['perfect', 'app', 'learn', 'practice', 'english', 'fast', 'effective', 'love', 'app', 'time', 'subscribe', 'try', 'thing', 'need', 'improve', 'ai', 'tutor', 'voice', 'suddenly', 'jump', 'end', 'sentence', 'word', 'miss', 'incompletely', 'convey', 'idea', 'connection', 'thankss']",perfect app learn practice english fast effective love app time subscribe try thing need improve ai tutor voice suddenly jump end sentence word miss incompletely convey idea connection thankss
29,"it's an excellent app to enhance verbal communication skills, but they charge quite exorbitant price for subscription, which isn't affordable atleast in my country. i suggest reducing subscription charges which people of underdeveloped countries could afford. moreover, there r some issues with the app which needs to be fixed, for instance, it stops working while practicing but the timer continues. they give 5 minutes for practicing for free but one can't use more than 2 minutes bcz of that bug.","it be an excellent app to enhance verbal communication skill , but they charge quite exorbitant price for subscription , which be not affordable atleast in my country . I suggest reduce subscription charge which people of underdeveloped country could afford . moreover , there r some issue with the app which need to be fix , for instance , it stop work while practice but the timer continue . they give 5 minute for practice for free but one can not use more than 2 minute bcz of that bug .","['excellent', 'app', 'enhance', 'verbal', 'communication', 'skill', 'charge', 'exorbitant', 'price', 'subscription', 'affordable', 'atleast', 'country', 'suggest', 'reduce', 'subscription', 'charge', 'people', 'underdeveloped', 'country', 'afford', 'r', 'issue', 'app', 'need', 'fix', 'instance', 'stop', 'work', 'practice', 'timer', 'continue', '5', 'minute', 'practice', 'free', 'use', '2', 'minute', 'bcz', 'bug']",excellent app enhance verbal communication skill charge exorbitant price subscription affordable atleast country suggest reduce subscription charge people underdeveloped country afford r issue app need fix instance stop work practice timer continue 5 minute practice free use 2 minute bcz bug
30,"i love using learna! its an amazing app with great features that make learning so much easier and fun. the user interface is smooth and intuitive, and the content is well-organized and informative. ive gained so much knowledge and truly enjoy spending time on the app. highly recommend it to anyone looking to enhance their learning experience!","I love use learna ! its an amazing app with great feature that make learn so much easy and fun . the user interface be smooth and intuitive , and the content be well - organized and informative . I have gain so much knowledge and truly enjoy spend time on the app . highly recommend it to anyone look to enhance their learning experience !","['love', 'use', 'learna', 'amazing', 'app', 'great', 'feature', 'learn', 'easy', 'fun', 'user', 'interface', 'smooth', 'intuitive', 'content', 'organized', 'informative', 'gain', 'knowledge', 'truly', 'enjoy', 'spend', 'time', 'app', 'highly', 'recommend', 'look', 'enhance', 'learning', 'experience']",love use learna amazing app great feature learn easy fun user interface smooth intuitive content organized informative gain knowledge truly enjoy spend time app highly recommend look enhance learning experience
31,"i feel is great but i think you should say from the beginning is not free at all, because... i thought it was, with limitations and all but i thought you could at least use it for a little more time, is a shame really but for the short time i had, i don't really feel sure enough to pay for any plan","I feel be great but I think you should say from the beginning be not free at all , because ... I think it be , with limitation and all but I think you could at least use it for a little more time , be a shame really but for the short time I have , I do not really feel sure enough to pay for any plan","['feel', 'great', 'think', 'beginning', 'free', 'think', 'limitation', 'think', 'use', 'little', 'time', 'shame', 'short', 'time', 'feel', 'sure', 'pay', 'plan']",feel great think beginning free think limitation think use little time shame short time feel sure pay plan
32,"i was appreciating an amazing person who was providing a service that helped learners speak and learn english. their dedication to teaching was evident in the way they tailored lessons to meet each students needs, fostering an environment where everyone felt comfortable practicing their skills. it was inspiring to witness how they transformed the learning process into an engaging experience, using innovative techniques that encouraged active participation. many students, including myself, found","I be appreciate an amazing person who be provide a service that help learner speak and learn english . their dedication to teaching be evident in the way they tailor lesson to meet each student need , foster an environment where everyone feel comfortable practice their skill . it be inspiring to witness how they transform the learning process into an engaging experience , use innovative technique that encourage active participation . many student , include myself , find","['appreciate', 'amazing', 'person', 'provide', 'service', 'help', 'learner', 'speak', 'learn', 'english', 'dedication', 'teaching', 'evident', 'way', 'tailor', 'lesson', 'meet', 'student', 'need', 'foster', 'environment', 'feel', 'comfortable', 'practice', 'skill', 'inspiring', 'witness', 'transform', 'learning', 'process', 'engaging', 'experience', 'use', 'innovative', 'technique', 'encourage', 'active', 'participation', 'student', 'include', 'find']",appreciate amazing person provide service help learner speak learn english dedication teaching evident way tailor lesson meet student need foster environment feel comfortable practice skill inspiring witness transform learning process engaging experience use innovative technique encourage active participation student include find
33,"i just used it for 5 minutes and as a qualified teacher of english , i would say , the app is awesome ! i would love to see the app to be further developed for learning german, spanish , italian , french , greeck and so on ( i would definitely buy a subscription for all these languages).","I just use it for 5 minute and as a qualified teacher of english , I would say , the app be awesome ! I would love to see the app to be far develop for learn german , spanish , italian , french , greeck and so on ( I would definitely buy a subscription for all these language ) .","['use', '5', 'minute', 'qualified', 'teacher', 'english', 'app', 'awesome', 'love', 'app', 'far', 'develop', 'learn', 'german', 'spanish', 'italian', 'french', 'greeck', 'definitely', 'buy', 'subscription', 'language']",use 5 minute qualified teacher english app awesome love app far develop learn german spanish italian french greeck definitely buy subscription language
34,it is very informative app . i like it . it is good app for speaking and learning english. it is amazing app with great features. if you really want to speak english. i love using learna,it be very informative app . I like it . it be good app for speak and learn english . it be amazing app with great feature . if you really want to speak english . I love use learna,"['informative', 'app', 'like', 'good', 'app', 'speak', 'learn', 'english', 'amazing', 'app', 'great', 'feature', 'want', 'speak', 'english', 'love', 'use', 'learna']",informative app like good app speak learn english amazing app great feature want speak english love use learna
35,"i only downloaded to see what my friend was going on about and if it was any good. to be honest, i think they should start doing one for the big popular languages as well, like french, italian, spanish and chineese as this app deserves 5 star just my opinion. so much better in helping you speak the language rather than just write the language. only downside is it's apparently 2x more expensive than the older language app i think is good dualingo but......if you can justify the price","I only download to see what my friend be go on about and if it be any good . to be honest , I think they should start do one for the big popular language as well , like french , italian , spanish and chineese as this app deserve 5 star just my opinion . so much well in help you speak the language rather than just write the language . only downside be it be apparently 2x more expensive than the old language app I think be good dualingo but ...... if you can justify the price","['download', 'friend', 'good', 'honest', 'think', 'start', 'big', 'popular', 'language', 'like', 'french', 'italian', 'spanish', 'chineese', 'app', 'deserve', '5', 'star', 'opinion', 'help', 'speak', 'language', 'write', 'language', 'downside', 'apparently', '2x', 'expensive', 'old', 'language', 'app', 'think', 'good', 'dualingo', 'justify', 'price']",download friend good honest think start big popular language like french italian spanish chineese app deserve 5 star opinion help speak language write language downside apparently 2x expensive old language app think good dualingo justify price
36,"best but unaffordable in underdeveloped countries is it available in free version for those students who are financially weak and can't afford it. if you increase the free time 20, 25 minutes for daily use it will help the students a lot","good but unaffordable in underdeveloped country be it available in free version for those student who be financially weak and can not afford it . if you increase the free time 20 , 25 minute for daily use it will help the student a lot","['good', 'unaffordable', 'underdeveloped', 'country', 'available', 'free', 'version', 'student', 'financially', 'weak', 'afford', 'increase', 'free', 'time', '20', '25', 'minute', 'daily', 'use', 'help', 'student', 'lot']",good unaffordable underdeveloped country available free version student financially weak afford increase free time 20 25 minute daily use help student lot
37,it's a very good app but first when i install it so i gave it 5 mints for practice and now i want to increase my time i want to practice for more time so how i will increase my time limit i had tried a lot but i couldn't,it be a very good app but first when I install it so I give it 5 mint for practice and now I want to increase my time I want to practice for more time so how I will increase my time limit I have try a lot but I could not,"['good', 'app', 'install', '5', 'mint', 'practice', 'want', 'increase', 'time', 'want', 'practice', 'time', 'increase', 'time', 'limit', 'try', 'lot']",good app install 5 mint practice want increase time want practice time increase time limit try lot
38,"really this is best app ever. i this is the best way to learn english, because is this app use all human. so don't waste your precious time. download now this apk.","really this be good app ever . I this be the good way to learn english , because be this app use all human . so do not waste your precious time . download now this apk .","['good', 'app', 'good', 'way', 'learn', 'english', 'app', 'use', 'human', 'waste', 'precious', 'time', 'download', 'apk']",good app good way learn english app use human waste precious time download apk
39,"it is a very interesting application, it helps me a lot to lose the fear of talking, it answers any question you ask, excellent app","it be a very interesting application , it help I a lot to lose the fear of talk , it answer any question you ask , excellent app","['interesting', 'application', 'help', 'lot', 'lose', 'fear', 'talk', 'answer', 'question', 'ask', 'excellent', 'app']",interesting application help lot lose fear talk answer question ask excellent app
