,final,sentiment
107,app good.srilanka curntry negative language added.how learning speak english,NEGATIVE
108,app joke lure promise free lesson attack non stop ad hidden charge english teach outdate unnatural wrong feel like barely speak english regret second waste total scam,NEGATIVE
109,perfect wish subscribe daily low,POSITIVE
110,app practice english language,NEGATIVE
111,app helpful learn english definitely new learner easily learn english app want learn english speak app money pay opportunity learn english use app,POSITIVE
112,think great amazing ai tutor missing app payment expensive week year offer available hope payment app,POSITIVE
113,bug app deduction payment provide app excess akse purchase subscription puchse option cancellation rely app .i lose mony,NEGATIVE
114,scam charge money service work charge twice answer email option unsubscribe application,NEGATIVE
115,learns ai robust leading edge application design simplify enhance learn experience artificial intelligence combine cutting edge technology user friendly interface cater learner level beginner expert application offer interactive module real world ai simulation personalize learn path ensure comprehensive understanding skill development emphasis practical application building ai model,POSITIVE
116,download app automatically deduct money account.this scam app refund policy refund true dissapointe application scammer,NEGATIVE
117,successful regard app like impressed try spend time learn english learn good learn helpful,POSITIVE
118,experience bad payment relate customer support poor unsubscribe deduct payment deduct need legel action suggest,NEGATIVE
119,good app discus ai grammar sentence wish add correction incorrect speak add practice spell word sentence,POSITIVE
120,wish application free afford small fee difficult lot people learn application afford amazing application love,POSITIVE
121,intalle application offer 86 weekly 76 rs subscription use google pay debit 3900 rs 1 year account cheat cancel subscription mail refund need,NEGATIVE
122,pro realistic animation con app crash 3 time sentence enjoy watch lady speak wait app reply 3 min wonder app need english improvement,POSITIVE
123,cancel subscription renew charge debit money automatically debit card want refund poor experience,NEGATIVE
124,able start conversation learna app block excellent internet connection work need reimburse money pay thank,POSITIVE
125,nice free trial time app charge collect money easily advance time contract weekly charge easily $ 10.99 week december 2 2024 charge $ 10.99 december 5 2024,POSITIVE
126,bad app app stuck freeze stable connection internet understand,NEGATIVE
127,good way learn english feedback english new sentence learn new vocabulary good,POSITIVE
128,charge free 1 week trial period day notice money deduct account disappointing app,NEGATIVE
129,pay browser app notice pay normal app user pay create account activate account ask pay trial unprofessional,NEGATIVE
130,amazing application daily practice especially student practice improve english language,POSITIVE
131,"subscribe yesterday 3 free trial app withdraw payment,284 tl week reason let use app subscribe google payment email related email respond email google purchase email response want money effort scam",NEGATIVE
132,work iam excited daily practice fluent english speaker help learn new word new vocabulary appreciate app iam thankful app,POSITIVE
133,bad experience app pay weekly subscription spend 15 minute day app 15 minute automatically strucke,NEGATIVE
134,random answer bit close real answer work slow send command,NEGATIVE
135,wonderful attempt develop application glad discription work surely address base calculative need happy share rank guy good luck 5 star,POSITIVE
136,good people want speak english talk ai si good plsss remove subscription free world need money app need free subscription,POSITIVE
137,program great problem payment credit card international account iranian,POSITIVE
138,good app use intension learn different language,POSITIVE
139,choose native language option tamil choose language learn useless choose language use skip option,NEGATIVE
140,magnificent app great feature like,POSITIVE
141,instal learna app mozambiqan student support financially 3 day trial period un instal app time tutor charge weekly indication stop debit tell 3 day cancel indication bank ask return debit waste time,NEGATIVE
142,good ai francophone want bilingual,POSITIVE
143,allow continue session free trial want session pay weekly useless,POSITIVE
144,app contain lot add ask question want answer matter type speak answer send ad special learna ai free trial come repeat overall app good,POSITIVE
145,positively surprised expect compare similar app try bug streak count use local time annoying,POSITIVE
146,fantastic aap cool speak english learn english,POSITIVE
147,good fun way practice love try,POSITIVE
148,like want cancel subscription play store display subscription conversation slow,POSITIVE
149,good student issue study student prepare exam way good learn good knowledge minute hour follow path abously,POSITIVE
150,interesting learn speak,POSITIVE
151,application amazing learn improve english like thank developer want learn english worry level application solution,POSITIVE
152,great app learn speak english effectively,POSITIVE
153,app good learn speak english,POSITIVE
154,good app learn language imenisadia kwa wakati,POSITIVE
155,speaker mute frequently frustrated,NEGATIVE
156,scam automatically subscription charge time single month 850 tl month use app charge googleplay charge vodafone sim card try connect customer service turn ai email customer service respond email refund money unlikely,NEGATIVE
157,download english learning app think helpful experience disappointing use day uninstalle app find deduct google play wallet permission unacceptable feel like scam app functionality average unauthorised transaction major concern advise cautious avoid app beware unauthorised transaction,NEGATIVE
158,charge 490/- cancel subscription 24 hour download subscribe unprofessional fraudulent alert user download app app usable key credit card detail key card detail satisfied app anyways money 3 day,NEGATIVE
159,english speak class run cheap,NEGATIVE
160,great time learn english love,POSITIVE
161,useful understand esasy learn,POSITIVE
162,woo amazing incredible learning,POSITIVE
163,appreciate simple useful application,POSITIVE
164,application useful improve english skill little deficiency app subscribe month,POSITIVE
165,enjoy session mam happy learn teach greating untill session,POSITIVE
166,use app month far good help improve speaking skill great app,POSITIVE
167,game good ask english 14000 week improve english taking money improve english difficult word delete download feel angry feel angry,NEGATIVE
168,star great app people passionate learn english read n practise,POSITIVE
169,good english app enable improve english communication skill correct err try,POSITIVE
170,wonderful app improve english skill elegantly,POSITIVE
171,voice interpretation good,POSITIVE
172,learna good app english english speak beginner want level english speaking suggest english learner download learna start journey english learning,POSITIVE
173,impossible know real benefit app time test free 5min time 2 question know logic conversation,POSITIVE
174,educational app teach english,NEGATIVE
175,good teaching beginner,POSITIVE
176,find platform speak english hear ai tool amazing suitable boost speaking,POSITIVE
177,helpful app important people learn english,POSITIVE
178,use app month enjoyed learn speak read,POSITIVE
179,helpful everyone.let download ai app play store start,POSITIVE
180,easy use tutor voice clear,POSITIVE
181,fantastic outstanding app need free time new user,POSITIVE
182,great app improve english speaking writing,POSITIVE
183,good payment need free learn english,POSITIVE
184,nice talk practice learna,POSITIVE
185,good great way practice english,POSITIVE
186,app useful learn english language,POSITIVE
187,fantastic learn language,POSITIVE
188,teach free poor l want improve english skill help app great,POSITIVE
189,app absolutely awesome broke speak native language anymore think nice speak hear afford pay service wish thing free trial,POSITIVE
190,helpful learn speak english,POSITIVE
191,nice experience learn english app aap amazing affordable thank aap speak english confidently,POSITIVE
192,useful app practice english ourself funny fresh experience want learn english recommend app,POSITIVE
193,good pay long time ai interaction free version 5 minute daily,POSITIVE
194,super satisfied.it good app.after use app satisfied.so app awesome.but remember thing beginner helpful,POSITIVE
195,nice app practice time limited,POSITIVE
196,extremely bad extremely ask payment pay download app pay learn duolingo good try rubbish app,NEGATIVE
197,clear app evailable choose wrong language end english speaker learn english,NEGATIVE
198,"bery good app english practice 5,6 day later hungary embussy interview hope help interview",POSITIVE
199,beginer learna.but understand useful improve inglish.i try stay learna.thank present useful app.thank learna,POSITIVE
200,great learn worry person feel help build confidence language skill,POSITIVE
201,good learn english grammar thank teach pleasure learn english grammar good know information english,POSITIVE
202,app valuable want learn english valuable sinhala language include use sinhala mother tongue learn english,POSITIVE
203,contain nation kurdish language translation list hope add purpose 4 5 star application,POSITIVE
204,switch language actually try learn native english speaker try learn spanish change app,NEGATIVE
205,difficulty input voice message need improve field,POSITIVE
206,app good ability learn new word interval repetition list word leson explanation picture page,POSITIVE
207,app good try learn english app app great help learn english lot,POSITIVE
208,s app useful learn english s feedback suggestion want improve.when use app feel like play videogame,POSITIVE
209,app helpfull development english language knowledge fluency good app suggestion app helpfull beginner english language learner life,POSITIVE
210,hello little advice download app learna ai help improve english good precious young improve english,POSITIVE
211,great experience think learn lot especially pronounce words.i fluent speak english spend time speak english,POSITIVE
212,want improve english speak job pattern beginner guide intervention life think lot work way,POSITIVE
213,class application help produce great change formal english improve grammatical tense error,POSITIVE
214,help improve english language,POSITIVE
215,kindly refund 1 year program payment know application work properly vocal sound system hang check think bug check fix,POSITIVE
216,knowledge useful helpful language creative learn language language learn like app helpful nice english,POSITIVE
217,payment option start free app recommend download app,POSITIVE
218,good learner like download app want study abroad,POSITIVE
219,bad app subscribe option unsubscribe subscribe deduct money,NEGATIVE
220,english practice,NEGATIVE
221,amazing app master english time enjoy learn completely non judgemental environment,POSITIVE
222,app amazing enjoy use teach way communicate anybody world help improve english easy way,POSITIVE
223,easy use practice,POSITIVE
224,perfect app learn language,POSITIVE
225,app unable detect different accent distort response feedback,NEGATIVE
226,subscribe yearly plan 3 day trial fantastic app english learner,POSITIVE
227,amazing learning experience learna way correct gently mistake appreciable needed app,POSITIVE
228,joke think talk ai improve english grammar rule exercise elementary app,POSITIVE
229,app fantastic love app super app recommend app student people want learn english easily,POSITIVE
230,great app learn english,POSITIVE
231,fantastic application love,POSITIVE
232,expensive 10 star,NEGATIVE
233,love help english,POSITIVE
234,think help communicate properly,POSITIVE
235,intelligent smart ai tool,POSITIVE
236,good learning platform,POSITIVE
237,native language tamil unfortunately available selection option interested premium package thank,POSITIVE
238,good app learn english,POSITIVE
239,good learn english,POSITIVE
240,poor cx support service try fish service purchase mistakenly application refund option disspointe,NEGATIVE
241,good app easy understand,POSITIVE
242,great app learn english easily need attend class earn time avail learn guy belive great app learn english download check happy learning,POSITIVE
243,thank help glad hear teacher nice meet thank,POSITIVE
244,application select language india india flag symbol word tamil uninstalled share screenshot karnataka community proper development application,POSITIVE
245,"good time sound stop n hear 20th january,2025 problem exist update new version",NEGATIVE
246,useful app learn alot app thank create amazing tool improve english,POSITIVE
247,voice sensor work ai mouth crazy start ask rate,NEGATIVE
248,learna ai good app practice speak google free costly,POSITIVE
249,easy nice learn english use app nice expectation,POSITIVE
250,way trial share payment information thank,POSITIVE
251,expensive mention advertisement cheap human teacher deceisiv statment,NEGATIVE
252,great app improve speak afford subscription student pay want consession,POSITIVE
253,time beginner user software star understand like feature star thank,POSITIVE
254,bad ready launch include kannada language.i feel bad uninstalle soon instal,NEGATIVE
255,helpful improvement english language easy helpful easy learn english app recommend download app learn easy english fature,POSITIVE
256,good application learn english,POSITIVE
257,app crash unfortunately stop pls fix problem,NEGATIVE
258,excellent kindly free cost pay,POSITIVE
259,application useful practice hace native speaker home,POSITIVE
260,simply learn english guiding good,POSITIVE
261,app helpful increase skill language pro version sad,POSITIVE
262,fantastic experience learna ai interface user friendly content engaging informative adapt learn pace provide valuable insight notice significant improvement skill start use highly recommend look enhance knowledge,POSITIVE
263,outstanding experience learna structure quality content level detail context remarkable app run incredibly smoothly device user interface intuitive user friendly room learn learna provide excellent platform highly recommend definitely worth 5 star rating,POSITIVE
264,instal s helpful membership plan costly acoorde monthly budget pay 490 ruppe week institute nearby real life experience monthly basis interested application subscription plan high week monthly basis try,POSITIVE
265,r expensive business help people subscribe pay inr 2000 monthly 490 week basis,POSITIVE
266,app good tutor method ia amazing problem week fee costly like concession people want learn english,POSITIVE
268,sound good ai read conversational,POSITIVE
269,help app improve english speaking,POSITIVE
270,good option learn english,POSITIVE
271,4 great app,POSITIVE
272,chilean teacher english amazing app practice english level,POSITIVE
273,useful app everybody people speak english use app able memory successful relate english oral task time fantasy app child,POSITIVE
274,tell great app need subscription download want learn free,POSITIVE
275,amazing helpful new generation free,POSITIVE
276,fascinate ia turn thing imagine learn english second,POSITIVE
277,easy learn english app,POSITIVE
279,nice app improve english face face price high geographical location,POSITIVE
280,good help improve english money pay 5 minute,POSITIVE
281,strategy ethical conversation need pay access 3 day free trial enjoy,POSITIVE
282,bad change active level thing hard understand,NEGATIVE
283,nice app lead good speaking english,POSITIVE
284,voice text find helpful,POSITIVE
285,knowledgable learner coopreative app good improve way speak,POSITIVE
286,think great app information .it level .you learn use app level high,POSITIVE
287,easy use easy learn english,POSITIVE
288,good application student fluent english start practice speak succeed,POSITIVE
289,amazing app use learn language fluent helping work applictaion,POSITIVE
290,good app want learn english app limit 5 min good,POSITIVE
291,app need change manner respond good press microphone button answer time,POSITIVE
292,native language tamil app continue app,NEGATIVE
293,interested look speak english thank developer,POSITIVE
294,fantastic app.it marvelous good know nice like good beginner help know english perfectly,POSITIVE
295,think useful student great ai app,POSITIVE
296,es muy bueno en verdas ayuda mucho vocabulary listening warite fanny,NEGATIVE
297,think help price,POSITIVE
298,interesting exciting think learn lot everytime reply,POSITIVE
299,helpful learn english help improve english skill grammar,POSITIVE
300,good app lean english.it free charge base app,POSITIVE
301,great app learn beginner good beginner like enjoy thank,POSITIVE
302,nice kid wonderful app kid english development,POSITIVE
303,free good like teacher suggest way sentence,POSITIVE
304,subscription fee expensive pay 7 $ week,NEGATIVE
305,useful app learn speak englosh langiage,POSITIVE
307,good improve english,POSITIVE
308,app useful talk hindi,POSITIVE
309,nice app money purchase version,POSITIVE
310,experience bad payment relete customer support poor unscribe account deduct,NEGATIVE
311,writing perfectly,POSITIVE
312,learn information english,NEGATIVE
313,good app improve language,POSITIVE
314,excellent good app improve english,POSITIVE
315,incredible effective app,POSITIVE
316,good application improve language,POSITIVE
317,good app improve english,POSITIVE
318,wonderful app learn english,POSITIVE
319,good help improve english,POSITIVE
320,bad experience paid free trial,NEGATIVE
321,good app want add confudion,POSITIVE
322,bad app pay level 1 greating,NEGATIVE
323,thank increase level english,POSITIVE
324,perfect app 100/100,POSITIVE
325,nice app english practice,POSITIVE
326,poor interaction speed,NEGATIVE
327,great app learning speak,POSITIVE
328,subscription charge high,NEGATIVE
329,helpful learn english,POSITIVE
330,helpful good free,POSITIVE
331,good highly recommend infact mediocre,POSITIVE
332,good app forever great learn app,POSITIVE
333,opinion learn english,NEGATIVE
334,perfect app learn english,POSITIVE
335,free 5minute minute day mean free,POSITIVE
336,great platform improve english speaking skill,POSITIVE
337,new user app smart lecture teach friendly recommend app people like app,POSITIVE
338,great perfect hopefully know english,POSITIVE
339,like learn soo english talk english,POSITIVE
340,teacher understand talk smart beneficial conservation,POSITIVE
341,application nice learn english speaking,POSITIVE
342,help amazing app good app learn speak english,POSITIVE
344,good app learn english environment like ecology tell world,POSITIVE
345,good english language learn app far,POSITIVE
346,great app new learning language,POSITIVE
347,app useful want learn english,POSITIVE
348,awesome experience learn english,POSITIVE
349,problem speaker rest okay,NEGATIVE
350,l install app instal phone sorry thank rate 5 star,POSITIVE
351,awesome need time 1 hour,POSITIVE
352,time wester app install 000000 recommend,POSITIVE
353,sach good app learn english language,POSITIVE
354,need pay money free,POSITIVE
356,amazing app love itttt,POSITIVE
357,app good learn english,POSITIVE
358,easy talk softvoice,POSITIVE
359,good app speak,POSITIVE
360,good conversation learn english,POSITIVE
361,good good english canadian test hi ask allissa mean allissa yes solid 4 star,POSITIVE
363,good app working speak english,POSITIVE
364,app super cool easy use,POSITIVE
365,profitable app increase speak,POSITIVE
366,good app practice english,POSITIVE
367,concept good ai bit improvement major issue ux perspective ui like video need constantly press hold mic button speak turn mic detect voice like google assistant,POSITIVE
368,great app improve english app,POSITIVE
369,good english learning app,POSITIVE
370,need money reply message,NEGATIVE
371,learn english language,NEGATIVE
372,thank help support hope support family good honest,POSITIVE
373,time use capcut pop long 1 min add,NEGATIVE
374,interesting engaging app,POSITIVE
375,good aap improve english,POSITIVE
376,goodest app learn english,NEGATIVE
377,nice way learn language,POSITIVE
378,like app helpful lesson,POSITIVE
379,improve english skill,POSITIVE
380,good help english english,POSITIVE
382,great practice ai app appreciate,POSITIVE
383,app work purchase pro version,NEGATIVE
384,open app useless try trice,NEGATIVE
385,like good teacher,POSITIVE
386,time favorite learning application great app,POSITIVE
387,voice cache poor,NEGATIVE
388,app work smoothly,NEGATIVE
389,voice upload,NEGATIVE
390,use app practice english good,POSITIVE
391,easy helpful,POSITIVE
392,work allow learn practice message popup buy premium version,POSITIVE
393,useless app bad experience credit debit card continue charge use subscribe offer chance cancel subscription app spend single penny,NEGATIVE
394,learna ai new live 21st century idea surprising day rate 5 star great app,POSITIVE
395,donot download charge 10 doller bank account comformation ecommerce google code way remove app finally lose money.if like save money download app download waste,POSITIVE
396,good practice english,POSITIVE
397,helpful interact daily beautiful ai english fluence english,POSITIVE
398,like cheap app fake rating loading ui tell speak think speak lol delete,POSITIVE
399,good app use 5 10 minute hope free plan feature like pay,POSITIVE
400,instal app work delete instal thing work know matter,NEGATIVE
401,amazing learna ai good medium improve english profitioncy,POSITIVE
402,use free good try suitable beginner try speak time,POSITIVE
403,i'am glad use app speaking practice helpful increase speaking capability,POSITIVE
404,good application unsupported phone display application error help fix issue,POSITIVE
405,opportunity use free cost talk ai minimum 30 min point,POSITIVE
406,good improve english download result amazing,POSITIVE
407,new user think good want use app buy plan possible student earn money,POSITIVE
408,recorder work speak record properly,NEGATIVE
409,nice good time add subscribation 5 minute day,POSITIVE
410,great word explain thing option select sinhala language,POSITIVE
411,great app increase time atleast 30 min day help student alot,POSITIVE
412,perfect app thing bit slow like app send app,POSITIVE
413,money pay app perfect unfortunately pay pay internal transaction,NEGATIVE
414,buy let use free grateful.i want improve english tell english education good thank,POSITIVE
415,app work free like good option pay like,POSITIVE
416,set 5 min day want change change app primium want,POSITIVE
417,urdu mention native language section urdu mention national language option urdu language 0 star possible,NEGATIVE
418,great platform learn english improve vocabulary proficiency,POSITIVE
419,nice free greatand practice english skill guy like excellent,POSITIVE
420,pay pro unfortunately work properly samsung tab mobile ask pro version tab,NEGATIVE
421,lot thing practice english platform great learn englis want pay money,POSITIVE
422,good learn test english frequently strength communication skill,POSITIVE
423,free like duolingo option free ad pay ad,POSITIVE
424,perfect app practice speak like native speaker learna ai review 10/10,POSITIVE
425,hate instal boring question reach main screen uninstall,NEGATIVE
426,good english learning app app helpful english language improve,POSITIVE
427,think app useful speak english try know app app good,POSITIVE
428,app buggy point uninstall record work,NEGATIVE
429,app good learn speak english benefit app,POSITIVE
430,good learn english love ad vip someday buy vip app cuz good,POSITIVE
431,experience think good app learn accessibility like talkback,POSITIVE
432,incredible app connect situation shall believe crucially,NEGATIVE
433,good overall voice disappear,POSITIVE
434,organized look forward perfect english ofcourse freeeeeee,POSITIVE
435,great app learn english language accuracy insane,POSITIVE
436,understandable beginner use improve english speaking,POSITIVE
437,app free good learn purchase method want choose,POSITIVE
438,hellow sir try english language conversation basic labal exciting basic english conversation present generation english english popular language world life cannnot english language visit country like usa uk canada australia etc country speak english language presence generation help life style activity,POSITIVE
439,allow app use ask trial plan subscribe weather 3 day free trial,POSITIVE
440,amazing unbelievable good english practice,POSITIVE
441,waaw app easy way learn english,POSITIVE
442,good morning english different language message like buy,POSITIVE
443,good way improve english proficiency like learna ai,POSITIVE
444,wonderful app maximize trail know audience engagement,POSITIVE
445,great application helpful learn english speaking skill good,POSITIVE
446,bad experience notofie charge think free surprise price d money deduction,POSITIVE
447,lerna good app pay yearly subscription enhance usage learn english,POSITIVE
448,great love app help like teacher learn english,POSITIVE
449,bad purchase automatically find option subscription,NEGATIVE
450,nice app amazing help child learn english speaking,POSITIVE
451,application userful foreign correction time love,POSITIVE
452,interesting app learn assistance improve english,POSITIVE
453,good new word lesson useful,POSITIVE
454,great app audio lag,POSITIVE
455,application free cost coz application education purpose help people speak english frequently,POSITIVE
456,app record voice properly response time slow,NEGATIVE
457,think app help fluent english.the downside include shona,POSITIVE
458,help people learn english language diferent way diferent country peaple ability think know speak language english language nation world wide language,POSITIVE
459,app excellent perfect quiet ok god bless,POSITIVE
460,good helpful beginner intermediate learner,POSITIVE
461,daughter love enjoy learn different topic,POSITIVE
462,deduct money account trial period complete scammer money thug,NEGATIVE
463,excellent app english learner enhance english,POSITIVE
464,app awesome tool improve english lot,POSITIVE
465,learn english ai awesome amazed visit learn english app,POSITIVE
